                                                                   filename         r1         r2         r3         r4         r5    step_volume    gmsh_volume      nodes   elements     pre_time    biax_time   shear_time   total_time     biax_react          E_eff    shear_react          G_eff
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       fcc[r1=3.351_r2=9.390_r3=9.787_r4=7.932_r5=4.487_vol=113940.024].msh     3.3510     9.3900     9.7870     7.9320     4.4870    113940.0240    113725.7170     536965    3076056      20.1906      26.3928      29.2506      75.8485       443.6054        22.1803       169.9876         8.4994
        fcc[r1=3.352_r2=4.702_r3=3.577_r4=9.592_r5=6.584_vol=80038.304].msh     3.3520     4.7020     3.5770     9.5920     6.5840     80038.3040     79890.8475     384791    2180043      11.8042      14.6446      16.3989      42.8586       287.5299        14.3765       118.0643         5.9032
       fcc[r1=3.352_r2=6.040_r3=9.610_r4=7.111_r5=8.455_vol=115072.182].msh     3.3520     6.0400     9.6100     7.1110     8.4550    115072.1820    114900.6431     522459    3009533      16.8504      24.6569      28.0519      69.5729       448.7219        22.4361       171.9519         8.5976
        fcc[r1=3.353_r2=2.528_r3=9.462_r4=8.217_r5=7.069_vol=93456.877].msh     3.3530     2.5280     9.4620     8.2170     7.0690     93456.8770     93385.9275     447669    2548997      13.9717      19.1944      20.8492      54.0279       349.8274        17.4914       137.8841         6.8942
        fcc[r1=3.355_r2=1.224_r3=6.848_r4=8.751_r5=2.268_vol=56062.092].msh     3.3550     1.2240     6.8480     8.7510     2.2680     56062.0920     56004.9602     298479    1661201       8.6273       9.7378      12.4838      30.8567       189.7508         9.4875        81.6153         4.0808
        fcc[r1=3.355_r2=3.347_r3=3.113_r4=4.760_r5=1.762_vol=34174.638].msh     3.3550     3.3470     3.1130     4.7600     1.7620     34174.6380     34040.5517     196907    1067064       5.2452       5.3665       8.5094      19.1259       108.6680         5.4334        52.1574         2.6079
        fcc[r1=3.355_r2=6.149_r3=9.866_r4=3.092_r5=7.798_vol=92447.552].msh     3.3550     6.1490     9.8660     3.0920     7.7980     92447.5520     92264.6403     431482    2461046      14.5574      17.3913      19.7175      51.6781       339.6434        16.9822       136.2953         6.8148
        fcc[r1=3.356_r2=6.698_r3=4.084_r4=1.722_r5=9.042_vol=67298.377].msh     3.3560     6.6980     4.0840     1.7220     9.0420     67298.3770     67094.6564     328367    1846100      11.3535      11.9045      14.0939      37.3669       231.2637        11.5632        99.6473         4.9824
        fcc[r1=3.360_r2=9.344_r3=7.494_r4=1.782_r5=4.802_vol=72450.962].msh     3.3600     9.3440     7.4940     1.7820     4.8020     72450.9620     72206.8407     378847    2118768      11.1511      14.0186      15.7192      40.8982       255.7089        12.7854       107.9651         5.3983
        fcc[r1=3.362_r2=2.909_r3=2.694_r4=8.366_r5=2.456_vol=46280.353].msh     3.3620     2.9090     2.6940     8.3660     2.4560     46280.3530     46152.4143     250217    1380614       7.0643       7.6112      10.4590      25.1409       151.6271         7.5814        68.3481         3.4174
        fcc[r1=3.362_r2=5.983_r3=8.350_r4=3.575_r5=4.541_vol=70377.985].msh     3.3620     5.9830     8.3500     3.5750     4.5410     70377.9850     70191.3758     350936    1974879      10.5309      11.9602      14.6954      37.1955       245.1365        12.2568       104.4151         5.2208
        fcc[r1=3.362_r2=8.656_r3=1.258_r4=2.589_r5=5.460_vol=51759.222].msh     3.3620     8.6560     1.2580     2.5890     5.4600     51759.2220     51517.3304     275288    1526034       7.8975       8.5124      11.3301      27.7468       171.7791         8.5890        78.2986         3.9149
        fcc[r1=3.363_r2=6.021_r3=7.191_r4=6.666_r5=7.208_vol=93814.277].msh     3.3630     6.0210     7.1910     6.6660     7.2080     93814.2770     93634.9583     434478    2480212      13.8154      18.1180      19.9608      51.9052       346.1325        17.3066       138.4796         6.9240
        fcc[r1=3.364_r2=5.682_r3=2.604_r4=6.749_r5=7.884_vol=73063.418].msh     3.3640     5.6820     2.6040     6.7490     7.8840     73063.4180     72890.0586     358058    2018988      10.8680      12.6521      15.5829      39.1123       256.4947        12.8247       108.0219         5.4011
