                                                                   filename         r1         r2         r3         r4         r5    step_volume    gmsh_volume      nodes   elements     pre_time    biax_time   shear_time   total_time     biax_react          E_eff    shear_react          G_eff
       fcc[r1=6.828_r2=6.506_r3=7.876_r4=7.795_r5=8.437_vol=153883.013].msh     6.8280     6.5060     7.8760     7.7950     8.4370    153883.0130    153674.3667     277669    1584824       8.8238      11.1706      12.9707      32.9736       627.7528        31.3876       268.6961        13.4348
        fcc[r1=6.829_r2=3.638_r3=5.283_r4=3.841_r5=3.215_vol=73238.483].msh     6.8290     3.6380     5.2830     3.8410     3.2150     73238.4830     73162.8949     391268    2173334      11.3746      14.3226      23.9648      49.6728       265.6164        13.2808       123.7323         6.1866
        fcc[r1=6.829_r2=4.455_r3=4.471_r4=2.082_r5=8.130_vol=88031.285].msh     6.8290     4.4550     4.4710     2.0820     8.1300     88031.2850     87909.5380     324106    1805541       9.4193      11.6735      17.5809      38.6844       321.9626        16.0981       148.9541         7.4477
        fcc[r1=6.830_r2=1.331_r3=4.126_r4=7.246_r5=1.460_vol=64703.545].msh     6.8300     1.3310     4.1260     7.2460     1.4600     64703.5450     64673.0469     369147    2029360      10.2932      12.8721      22.6231      45.7985       230.3046        11.5152       108.1511         5.4076
       fcc[r1=6.830_r2=3.758_r3=7.690_r4=2.442_r5=9.303_vol=109890.999].msh     6.8300     3.7580     7.6900     2.4420     9.3030    109890.9990    109746.7021     280311    1575219       8.4302      10.4437      13.4816      32.3636       413.5339        20.6767       187.1529         9.3576
        fcc[r1=6.831_r2=3.173_r3=1.698_r4=5.272_r5=7.663_vol=79107.361].msh     6.8310     3.1730     1.6980     5.2720     7.6630     79107.3610     79015.7829     321294    1769473       8.8878      11.1850      16.8690      36.9504       285.2311        14.2616       130.5626         6.5281
        fcc[r1=6.833_r2=4.238_r3=2.182_r4=9.223_r5=1.853_vol=80651.012].msh     6.8330     4.2380     2.1820     9.2230     1.8530     80651.0120     80534.4561     307640    1706325       8.6991      10.6683      16.3639      35.7399       293.0733        14.6537       136.8504         6.8425
        fcc[r1=6.834_r2=4.648_r3=5.148_r4=2.040_r5=5.106_vol=77818.939].msh     6.8340     4.6480     5.1480     2.0400     5.1060     77818.9390     77695.4410     299940    1655348       8.4216      10.1573      16.0998      34.6866       284.0832        14.2042       132.1934         6.6097
       fcc[r1=6.835_r2=1.723_r3=9.599_r4=5.574_r5=7.731_vol=117540.895].msh     6.8350     1.7230     9.5990     5.5740     7.7310    117540.8950    117446.8350     299342    1688141       9.0999      11.4367      14.5634      35.1093       448.2630        22.4131       198.7593         9.9380
        fcc[r1=6.836_r2=4.381_r3=7.630_r4=1.487_r5=3.079_vol=75166.370].msh     6.8360     4.3810     7.6300     1.4870     3.0790     75166.3700     75061.1229     299110    1642742       8.6592      10.0527      16.1332      34.8535       276.4366        13.8218       126.4572         6.3229
        fcc[r1=6.837_r2=1.131_r3=5.237_r4=2.312_r5=6.750_vol=69334.700].msh     6.8370     1.1310     5.2370     2.3120     6.7500     69334.7000     69304.5699     391075    2156716      11.2541      14.0309      23.4581      48.7535       246.7799        12.3390       114.5085         5.7254
       fcc[r1=6.840_r2=3.920_r3=1.396_r4=8.034_r5=9.000_vol=101469.088].msh     6.8400     3.9200     1.3960     8.0340     9.0000    101469.0880    101324.4060     285868    1588730       8.1770      10.1821      13.5780      31.9453       378.7568        18.9378       168.9931         8.4497
